@relation HI-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R1-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R8-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R9-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R10-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R11-precision6

@attribute whrswk {0_30,31_60,61_max}
@attribute hhi {no,yes}
@attribute whi {no,yes}
@attribute hhi2 {no,yes}
@attribute education {13-15years,12years,9-11years,16years,>16years,<9years}
@attribute race {white,black,other}
@attribute hispanic {no,yes}
@attribute experience {0_16,17_33,34_max}
@attribute kidslt6 {0_1,2_3,4_max}
@attribute kids618 {0_2,3_5,6_max}
@attribute husby {0_61,62_122,123_max}
@attribute region {northcentral,other,south,west}
@attribute wght numeric

@data
31_60,no,yes,yes,12years,white,no,17_33,0_1,0_2,0_61,northcentral,261561
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,northcentral,244403
0_30,yes,no,yes,12years,white,no,0_16,2_3,0_2,0_61,northcentral,263103
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,northcentral,260862
31_60,no,yes,yes,13-15years,white,no,0_16,0_1,0_2,0_61,northcentral,260862
31_60,no,yes,no,12years,white,no,34_max,0_1,0_2,0_61,northcentral,272816
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,northcentral,261116
31_60,no,yes,yes,12years,white,no,34_max,0_1,0_2,0_61,northcentral,243750
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,northcentral,261116
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,northcentral,143305
0_30,yes,no,yes,13-15years,white,no,0_16,0_1,0_2,0_61,northcentral,137675
0_30,no,no,no,12years,white,no,34_max,0_1,0_2,0_61,northcentral,136931
31_60,no,yes,no,>16years,white,no,17_33,0_1,0_2,0_61,northcentral,132190
31_60,no,no,no,>16years,white,no,17_33,0_1,0_2,0_61,northcentral,128454
31_60,no,yes,no,12years,white,no,17_33,0_1,0_2,0_61,northcentral,137472
0_30,no,no,no,12years,white,no,0_16,2_3,0_2,0_61,northcentral,143987
31_60,no,yes,yes,16years,white,no,0_16,0_1,0_2,0_61,northcentral,132259
0_30,no,yes,no,12years,white,no,0_16,0_1,0_2,0_61,northcentral,83882
31_60,no,yes,yes,16years,white,no,0_16,2_3,0_2,0_61,northcentral,138354
31_60,no,yes,no,12years,white,no,17_33,0_1,0_2,0_61,northcentral,133953
31_60,yes,no,yes,12years,white,no,0_16,0_1,0_2,0_61,northcentral,143873
0_30,yes,no,yes,13-15years,white,no,17_33,0_1,3_5,0_61,northcentral,135222
31_60,yes,yes,yes,12years,white,no,0_16,0_1,0_2,0_61,northcentral,136106
31_60,yes,yes,yes,12years,white,no,17_33,0_1,0_2,0_61,northcentral,135222
0_30,no,no,no,13-15years,white,no,0_16,2_3,0_2,0_61,northcentral,138354
31_60,no,yes,no,13-15years,white,no,0_16,0_1,3_5,0_61,northcentral,29144
31_60,no,yes,yes,12years,white,no,17_33,0_1,0_2,0_61,northcentral,135329
0_30,no,no,no,12years,white,no,17_33,0_1,0_2,0_61,northcentral,112047
31_60,yes,no,yes,16years,white,no,17_33,0_1,0_2,0_61,northcentral,106484
31_60,no,no,no,16years,white,no,17_33,0_1,0_2,0_61,northcentral,112094
31_60,no,no,no,12years,white,no,17_33,0_1,0_2,0_61,northcentral,111042
0_30,no,no,no,12years,white,no,17_33,0_1,0_2,0_61,northcentral,112047
0_30,no,no,no,12years,white,no,34_max,0_1,0_2,0_61,northcentral,114022
31_60,no,no,no,>16years,white,no,17_33,0_1,0_2,0_61,northcentral,112047
31_60,yes,no,yes,12years,white,no,0_16,0_1,0_2,0_61,northcentral,114583
31_60,yes,no,yes,12years,white,no,0_16,0_1,0_2,0_61,northcentral,116303
0_30,no,no,no,12years,white,no,0_16,2_3,0_2,0_61,northcentral,120942
0_30,yes,no,yes,13-15years,white,no,0_16,2_3,0_2,0_61,northcentral,256216
31_60,yes,no,yes,16years,white,no,17_33,0_1,0_2,62_122,northcentral,255363
0_30,yes,no,yes,13-15years,white,no,17_33,0_1,0_2,0_61,northcentral,250416
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,northcentral,201024
31_60,no,yes,no,16years,white,no,17_33,0_1,0_2,0_61,northcentral,206304
0_30,no,yes,yes,16years,white,no,34_max,0_1,0_2,0_61,northcentral,215758
31_60,no,yes,no,16years,white,no,17_33,0_1,0_2,0_61,northcentral,202928
0_30,yes,no,yes,13-15years,white,no,17_33,0_1,3_5,0_61,northcentral,206304
31_60,yes,no,yes,16years,white,no,17_33,0_1,0_2,0_61,northcentral,202928
31_60,yes,no,yes,>16years,white,no,17_33,0_1,0_2,0_61,northcentral,214490
31_60,no,no,no,12years,white,no,17_33,0_1,3_5,0_61,northcentral,204310
0_30,no,no,no,12years,white,no,34_max,0_1,0_2,0_61,northcentral,206155
31_60,yes,no,yes,12years,white,no,0_16,0_1,0_2,0_61,northcentral,204919
31_60,yes,yes,yes,13-15years,white,no,0_16,0_1,3_5,0_61,northcentral,212996
0_30,no,no,no,13-15years,white,no,17_33,0_1,3_5,0_61,northcentral,209510
0_30,no,no,no,13-15years,white,no,34_max,0_1,0_2,0_61,northcentral,199024
0_30,no,no,no,12years,white,no,34_max,0_1,0_2,0_61,northcentral,73038
31_60,no,yes,no,16years,white,no,0_16,0_1,0_2,0_61,northcentral,70249
0_30,no,no,no,13-15years,white,no,0_16,0_1,0_2,0_61,northcentral,69205
31_60,yes,no,yes,13-15years,white,no,17_33,0_1,0_2,0_61,northcentral,70755
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,northcentral,68694
31_60,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,northcentral,69622
31_60,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,northcentral,70755
0_30,yes,no,yes,13-15years,white,no,17_33,2_3,0_2,0_61,northcentral,71933
31_60,no,yes,no,12years,white,no,17_33,0_1,0_2,0_61,northcentral,68050
0_30,yes,no,yes,16years,white,no,17_33,0_1,0_2,0_61,northcentral,68050
0_30,yes,no,yes,13-15years,white,no,34_max,0_1,0_2,0_61,northcentral,75229
0_30,no,no,no,12years,white,no,34_max,0_1,0_2,0_61,northcentral,25059
31_60,no,no,no,9-11years,white,no,17_33,0_1,0_2,0_61,northcentral,26379
31_60,no,yes,yes,12years,white,no,34_max,0_1,0_2,0_61,northcentral,26240
0_30,no,no,no,13-15years,white,no,34_max,0_1,0_2,0_61,northcentral,28047
0_30,no,no,no,13-15years,white,no,17_33,0_1,3_5,0_61,northcentral,26818
0_30,yes,no,yes,16years,white,no,17_33,0_1,6_max,0_61,northcentral,26379
0_30,no,no,no,12years,white,no,34_max,0_1,0_2,0_61,northcentral,25957
0_30,no,no,no,13-15years,white,no,34_max,0_1,0_2,0_61,northcentral,28047
0_30,no,no,no,12years,white,no,17_33,0_1,0_2,0_61,northcentral,26379
0_30,no,no,no,13-15years,white,no,17_33,0_1,0_2,0_61,northcentral,30293
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,northcentral,29518
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,northcentral,31010
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,northcentral,29984
31_60,yes,no,yes,12years,white,no,0_16,0_1,0_2,0_61,northcentral,229631
31_60,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,northcentral,236861
31_60,no,no,no,12years,white,no,0_16,0_1,0_2,0_61,northcentral,242347
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,northcentral,238914
0_30,no,yes,no,12years,white,no,34_max,0_1,0_2,0_61,northcentral,238914
31_60,no,yes,no,9-11years,white,no,34_max,0_1,0_2,0_61,northcentral,238914
0_30,no,no,no,12years,white,no,17_33,2_3,0_2,0_61,northcentral,240214
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,northcentral,232573
0_30,no,no,no,12years,white,no,0_16,2_3,0_2,0_61,northcentral,229631
31_60,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,other,203983
0_30,yes,no,yes,12years,white,no,17_33,0_1,3_5,0_61,other,210684
0_30,yes,no,yes,12years,white,no,0_16,2_3,0_2,0_61,other,210575
0_30,no,yes,yes,12years,white,no,34_max,0_1,0_2,0_61,other,202617
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,other,202617
31_60,no,yes,yes,13-15years,white,no,34_max,0_1,0_2,0_61,other,173240
0_30,yes,no,yes,>16years,white,yes,0_16,0_1,0_2,0_61,other,100757
31_60,yes,no,yes,16years,white,no,17_33,0_1,0_2,0_61,other,178188
31_60,yes,yes,yes,12years,white,no,17_33,0_1,0_2,0_61,other,181152
31_60,yes,yes,yes,13-15years,white,no,17_33,0_1,0_2,0_61,other,178188
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,other,176516
0_30,yes,no,yes,12years,white,no,17_33,0_1,3_5,0_61,other,183695
31_60,no,yes,yes,16years,white,no,17_33,0_1,0_2,0_61,other,171646
0_30,yes,no,yes,12years,white,no,0_16,0_1,0_2,0_61,other,182315
31_60,no,yes,no,>16years,white,no,0_16,0_1,0_2,0_61,other,182315
31_60,no,yes,yes,13-15years,white,no,17_33,0_1,3_5,0_61,other,181152
31_60,no,yes,no,13-15years,white,no,34_max,0_1,0_2,0_61,other,169269
0_30,no,no,no,12years,white,no,17_33,0_1,0_2,0_61,other,178188
31_60,yes,yes,yes,16years,white,no,17_33,0_1,0_2,0_61,other,178188
0_30,yes,no,yes,9-11years,white,no,34_max,0_1,0_2,0_61,other,189454
31_60,yes,no,yes,13-15years,white,no,17_33,0_1,0_2,0_61,other,176516
31_60,no,yes,no,12years,white,no,34_max,0_1,0_2,0_61,other,189454
31_60,yes,no,yes,12years,white,no,17_33,0_1,3_5,0_61,other,178188
0_30,no,yes,no,>16years,white,no,34_max,0_1,0_2,0_61,other,177795
31_60,yes,yes,yes,>16years,white,no,0_16,0_1,0_2,0_61,other,184874
31_60,no,yes,no,16years,white,no,17_33,0_1,0_2,62_122,other,171646
31_60,no,no,no,9-11years,white,no,0_16,0_1,0_2,0_61,other,312467
0_30,yes,no,yes,12years,white,no,0_16,2_3,0_2,0_61,other,298857
0_30,no,no,no,9-11years,white,no,17_33,0_1,0_2,0_61,other,310168
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,other,324383
0_30,yes,no,yes,12years,white,no,0_16,0_1,0_2,0_61,other,113484
31_60,yes,no,yes,16years,white,no,0_16,0_1,0_2,0_61,other,85249
0_30,yes,no,yes,16years,white,no,0_16,2_3,0_2,0_61,other,108122
31_60,yes,no,yes,16years,white,no,17_33,0_1,0_2,0_61,other,105675
0_30,yes,no,yes,13-15years,white,no,17_33,0_1,0_2,0_61,other,104683
0_30,yes,no,yes,16years,white,no,17_33,0_1,0_2,0_61,other,110915
31_60,yes,no,yes,16years,white,no,0_16,2_3,0_2,0_61,other,113484
31_60,no,yes,no,13-15years,white,yes,0_16,0_1,0_2,0_61,other,46036
31_60,yes,no,yes,13-15years,white,yes,0_16,2_3,0_2,0_61,other,46036
31_60,yes,no,yes,12years,white,no,0_16,0_1,0_2,0_61,other,111023
31_60,no,yes,no,13-15years,white,no,0_16,0_1,0_2,0_61,other,106132
0_30,yes,no,yes,13-15years,white,no,17_33,0_1,3_5,0_61,other,110315
31_60,no,yes,no,>16years,black,no,17_33,0_1,0_2,0_61,other,98010
0_30,yes,no,yes,12years,white,no,0_16,2_3,0_2,0_61,other,110966
31_60,no,yes,yes,12years,white,no,34_max,0_1,0_2,0_61,other,103079
31_60,yes,no,yes,>16years,white,no,17_33,0_1,0_2,0_61,other,106772
31_60,no,yes,no,13-15years,white,no,17_33,0_1,0_2,0_61,other,110315
31_60,yes,yes,yes,12years,white,no,17_33,0_1,0_2,0_61,other,107492
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,other,110423
31_60,no,yes,no,13-15years,black,no,17_33,0_1,0_2,0_61,other,115351
0_30,yes,yes,yes,12years,white,no,17_33,0_1,0_2,0_61,other,113532
31_60,yes,yes,yes,16years,white,no,0_16,0_1,0_2,0_61,other,114260
0_30,yes,no,yes,16years,white,no,17_33,0_1,0_2,62_122,other,111674
31_60,no,yes,no,12years,white,no,34_max,0_1,0_2,0_61,other,106085
0_30,yes,no,yes,12years,white,no,0_16,2_3,0_2,0_61,other,111547
31_60,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,other,103565
0_30,yes,no,yes,9-11years,white,no,17_33,0_1,0_2,0_61,other,111547
31_60,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,other,109022
0_30,yes,no,yes,16years,white,no,17_33,0_1,0_2,0_61,other,109022
0_30,yes,no,yes,13-15years,white,no,17_33,0_1,0_2,0_61,other,147488
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,other,185401
31_60,no,no,no,16years,black,no,17_33,0_1,0_2,0_61,other,160201
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,other,180315
0_30,no,no,no,13-15years,white,no,17_33,0_1,0_2,0_61,other,136320
0_30,no,yes,no,>16years,white,no,0_16,0_1,0_2,0_61,other,188710
31_60,no,yes,no,12years,white,yes,0_16,0_1,0_2,0_61,other,76968
31_60,yes,yes,yes,12years,white,yes,34_max,0_1,0_2,0_61,other,97146
0_30,no,no,no,>16years,white,yes,17_33,0_1,0_2,62_122,other,94059
0_30,yes,no,yes,16years,white,no,34_max,0_1,0_2,0_61,other,197290
0_30,no,no,no,9-11years,white,no,17_33,0_1,0_2,0_61,other,188837
31_60,no,yes,no,13-15years,white,no,17_33,0_1,0_2,0_61,other,188837
31_60,yes,no,yes,9-11years,white,no,34_max,0_1,0_2,0_61,other,185813
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,other,191979
0_30,no,yes,yes,12years,white,no,17_33,0_1,0_2,0_61,other,187065
31_60,yes,yes,yes,12years,white,no,17_33,0_1,0_2,0_61,other,191979
31_60,no,yes,no,12years,white,no,34_max,0_1,0_2,0_61,other,192166
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,other,185813
31_60,no,yes,no,9-11years,black,no,34_max,0_1,0_2,0_61,other,195056
0_30,no,no,no,12years,black,no,17_33,0_1,3_5,0_61,other,170564
31_60,no,yes,yes,16years,black,no,17_33,0_1,0_2,62_122,other,177470
0_30,yes,no,yes,12years,white,no,17_33,0_1,3_5,0_61,other,191979
31_60,yes,no,yes,16years,white,no,17_33,0_1,0_2,0_61,other,185557
31_60,yes,no,yes,13-15years,white,no,34_max,0_1,0_2,0_61,other,176270
31_60,no,yes,no,16years,white,no,0_16,0_1,0_2,62_122,other,181491
0_30,yes,yes,yes,12years,white,no,0_16,0_1,0_2,0_61,other,181491
0_30,yes,no,yes,16years,white,no,17_33,0_1,0_2,0_61,other,185557
31_60,yes,yes,yes,12years,white,no,17_33,0_1,0_2,0_61,other,185557
31_60,yes,yes,yes,12years,white,no,0_16,0_1,0_2,0_61,other,189757
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,other,188828
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,other,182586
31_60,no,no,no,16years,white,no,17_33,0_1,0_2,0_61,other,188644
0_30,yes,no,yes,16years,white,no,17_33,0_1,0_2,0_61,other,188644
0_30,no,no,no,12years,white,no,17_33,0_1,0_2,0_61,other,183816
0_30,yes,no,yes,>16years,white,no,17_33,0_1,0_2,0_61,other,183816
31_60,no,yes,no,>16years,white,no,17_33,0_1,0_2,0_61,other,183816
31_60,yes,no,yes,13-15years,white,no,17_33,0_1,0_2,62_122,other,183906
0_30,yes,no,yes,13-15years,white,no,34_max,0_1,0_2,0_61,other,171843
31_60,no,yes,no,9-11years,black,no,34_max,0_1,0_2,0_61,other,270760
31_60,no,yes,yes,13-15years,white,no,0_16,0_1,0_2,0_61,other,176933
0_30,yes,no,yes,12years,white,no,0_16,2_3,0_2,0_61,other,185087
31_60,no,no,yes,9-11years,white,no,0_16,0_1,0_2,0_61,other,184991
0_30,no,no,no,12years,white,no,0_16,0_1,3_5,0_61,other,176933
31_60,no,yes,no,16years,white,no,0_16,0_1,0_2,0_61,other,183650
31_60,yes,yes,yes,13-15years,black,no,17_33,0_1,0_2,0_61,other,162124
31_60,no,yes,no,16years,white,no,0_16,2_3,0_2,0_61,other,185087
31_60,yes,no,yes,12years,white,no,0_16,0_1,0_2,0_61,other,175559
0_30,no,no,no,9-11years,white,no,0_16,2_3,0_2,0_61,other,192470
0_30,no,no,no,<9years,white,no,0_16,2_3,0_2,0_61,other,192470
31_60,no,yes,yes,>16years,white,no,34_max,0_1,0_2,0_61,other,178000
0_30,no,yes,yes,13-15years,white,no,0_16,0_1,0_2,0_61,other,176933
0_30,yes,no,yes,>16years,white,no,17_33,0_1,0_2,0_61,other,180897
0_30,no,no,no,12years,black,no,0_16,2_3,0_2,0_61,other,234958
31_60,no,yes,yes,16years,white,no,17_33,0_1,0_2,0_61,other,181481
31_60,yes,no,yes,12years,white,no,0_16,0_1,0_2,0_61,other,182551
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,other,181481
31_60,yes,yes,yes,>16years,white,no,34_max,0_1,0_2,62_122,other,175653
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,other,175653
0_30,no,no,no,16years,white,no,34_max,0_1,0_2,0_61,other,189798
0_30,yes,no,yes,12years,white,no,0_16,0_1,0_2,0_61,other,182646
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,other,181658
0_30,no,no,no,9-11years,white,no,34_max,0_1,0_2,0_61,other,189798
31_60,no,yes,no,12years,white,no,17_33,0_1,0_2,0_61,other,180792
31_60,no,no,no,12years,white,no,17_33,0_1,0_2,0_61,other,179227
31_60,no,yes,no,12years,white,no,34_max,0_1,0_2,0_61,other,171869
31_60,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,other,178027
0_30,no,no,no,9-11years,white,no,17_33,0_1,0_2,0_61,other,179227
31_60,no,yes,no,13-15years,white,no,0_16,2_3,0_2,0_61,other,185115
31_60,no,yes,no,12years,white,no,17_33,0_1,0_2,0_61,other,171869
31_60,no,yes,yes,12years,white,no,34_max,0_1,0_2,0_61,other,192364
0_30,yes,no,yes,9-11years,white,no,17_33,0_1,0_2,0_61,other,183935
0_30,no,no,no,>16years,white,no,17_33,0_1,0_2,0_61,other,179227
31_60,yes,no,yes,>16years,white,no,0_16,0_1,0_2,0_61,other,183935
0_30,yes,yes,yes,9-11years,white,no,34_max,0_1,0_2,0_61,other,178027
31_60,yes,yes,yes,>16years,white,no,17_33,0_1,3_5,0_61,other,180925
0_30,yes,yes,yes,12years,white,no,34_max,0_1,0_2,0_61,other,177110
31_60,no,yes,no,16years,white,no,0_16,0_1,0_2,0_61,other,106633
31_60,no,yes,yes,16years,white,no,0_16,0_1,0_2,0_61,other,111547
0_30,yes,no,yes,12years,white,no,0_16,0_1,0_2,0_61,other,111547
0_30,yes,no,yes,>16years,white,no,0_16,0_1,0_2,62_122,other,110836
31_60,no,yes,yes,>16years,white,no,0_16,0_1,0_2,62_122,other,111547
31_60,yes,no,yes,16years,white,no,17_33,0_1,0_2,0_61,other,107999
0_30,no,no,no,13-15years,white,no,17_33,2_3,0_2,0_61,other,110836
31_60,no,yes,yes,16years,white,no,0_16,0_1,0_2,0_61,other,111547
0_30,yes,no,yes,13-15years,white,no,17_33,0_1,0_2,62_122,other,109022
31_60,no,yes,no,<9years,white,no,34_max,0_1,0_2,0_61,other,107999
0_30,yes,no,yes,>16years,white,no,17_33,0_1,0_2,0_61,other,103565
31_60,no,yes,yes,>16years,white,no,0_16,0_1,0_2,0_61,other,111489
31_60,no,yes,yes,12years,white,no,17_33,0_1,0_2,0_61,other,107999
0_30,yes,no,yes,16years,white,no,17_33,0_1,0_2,62_122,other,103565
31_60,no,yes,no,>16years,white,no,0_16,0_1,0_2,0_61,other,110836
31_60,no,yes,no,13-15years,white,no,34_max,0_1,0_2,62_122,other,107276
0_30,yes,no,yes,>16years,white,no,17_33,0_1,0_2,0_61,other,107999
31_60,yes,yes,yes,12years,white,no,34_max,0_1,0_2,0_61,other,120069
31_60,no,yes,no,9-11years,white,no,34_max,0_1,0_2,0_61,other,111120
0_30,no,no,yes,16years,white,no,17_33,0_1,0_2,0_61,other,111869
0_30,no,no,no,<9years,white,no,17_33,0_1,0_2,0_61,other,107999
31_60,no,yes,no,>16years,white,no,17_33,0_1,0_2,0_61,other,107999
31_60,yes,yes,yes,12years,white,no,17_33,0_1,0_2,0_61,other,107999
0_30,no,no,no,>16years,white,no,17_33,0_1,0_2,0_61,other,83793
31_60,no,yes,yes,13-15years,white,no,0_16,0_1,0_2,0_61,other,111547
31_60,no,yes,yes,16years,white,no,0_16,0_1,0_2,0_61,other,115997
31_60,yes,no,yes,13-15years,white,no,17_33,0_1,0_2,0_61,other,107999
31_60,no,no,no,13-15years,white,no,17_33,0_1,0_2,0_61,other,109022
31_60,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,other,107276
31_60,no,yes,no,16years,white,no,17_33,0_1,0_2,0_61,other,114807
31_60,yes,no,yes,13-15years,white,no,0_16,0_1,0_2,0_61,other,111547
31_60,no,no,no,12years,white,no,17_33,0_1,0_2,0_61,other,107999
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,other,107276
31_60,no,yes,no,>16years,white,no,0_16,0_1,0_2,0_61,other,115544
31_60,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,other,114807
0_30,yes,no,yes,9-11years,white,no,17_33,0_1,3_5,0_61,other,107999
31_60,no,yes,no,13-15years,white,no,0_16,0_1,0_2,0_61,other,111547
0_30,no,no,no,16years,white,no,0_16,0_1,0_2,0_61,other,86796
0_30,no,no,no,16years,white,no,0_16,0_1,0_2,0_61,other,120153
31_60,yes,no,yes,13-15years,white,no,17_33,0_1,3_5,0_61,other,114807
31_60,no,yes,no,12years,white,no,34_max,0_1,0_2,0_61,other,111120
0_30,no,no,no,12years,white,yes,0_16,0_1,0_2,0_61,other,61627
31_60,no,yes,no,<9years,white,yes,17_33,2_3,0_2,0_61,other,78160
31_60,yes,no,yes,<9years,white,yes,17_33,0_1,0_2,0_61,other,39576
31_60,no,no,no,12years,white,yes,0_16,0_1,0_2,0_61,other,40876
31_60,no,yes,no,>16years,white,no,0_16,0_1,0_2,0_61,other,70042
0_30,yes,no,yes,16years,white,no,17_33,0_1,3_5,62_122,other,71612
0_30,no,yes,no,13-15years,white,no,17_33,0_1,0_2,0_61,other,72803
31_60,no,yes,yes,13-15years,white,no,34_max,0_1,0_2,0_61,other,70465
0_30,no,no,yes,<9years,white,no,34_max,0_1,0_2,0_61,other,76139
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,other,76139
0_30,yes,no,yes,9-11years,white,no,34_max,0_1,0_2,0_61,other,76139
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,other,71961
31_60,no,no,no,13-15years,white,no,0_16,0_1,3_5,0_61,other,71529
0_30,no,no,no,12years,white,no,0_16,2_3,0_2,0_61,other,77810
31_60,no,yes,yes,<9years,white,no,34_max,0_1,0_2,0_61,other,69472
31_60,no,no,no,12years,white,no,17_33,2_3,0_2,0_61,other,73132
31_60,no,yes,no,9-11years,white,no,34_max,0_1,0_2,0_61,other,71961
31_60,no,yes,no,9-11years,white,yes,17_33,0_1,0_2,0_61,other,166601
0_30,yes,no,yes,12years,white,no,0_16,0_1,0_2,0_61,other,288317
31_60,no,no,no,12years,white,no,0_16,0_1,0_2,0_61,other,301603
31_60,no,yes,no,<9years,white,no,34_max,0_1,0_2,0_61,other,313742
0_30,yes,no,yes,13-15years,white,no,17_33,0_1,0_2,0_61,other,185401
0_30,yes,no,yes,>16years,white,no,17_33,0_1,0_2,62_122,other,180656
31_60,yes,no,yes,>16years,white,no,17_33,0_1,0_2,0_61,other,180656
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,other,175334
31_60,yes,yes,yes,12years,white,no,17_33,0_1,0_2,0_61,other,176516
0_30,no,no,no,<9years,white,yes,34_max,0_1,0_2,0_61,other,84917
31_60,no,yes,yes,12years,white,no,17_33,0_1,0_2,0_61,other,181970
31_60,yes,yes,yes,16years,white,no,17_33,0_1,0_2,62_122,other,178523
31_60,yes,no,yes,>16years,white,no,17_33,0_1,0_2,0_61,other,178523
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,other,181970
0_30,no,no,no,13-15years,white,no,34_max,0_1,0_2,0_61,other,195308
31_60,yes,yes,yes,16years,white,no,17_33,0_1,0_2,0_61,other,196790
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,other,201959
0_30,yes,no,yes,13-15years,white,no,17_33,0_1,0_2,0_61,other,198654
31_60,yes,yes,yes,12years,white,no,17_33,0_1,0_2,0_61,other,198862
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,62_122,other,92309
31_60,no,yes,no,16years,white,no,17_33,0_1,0_2,0_61,other,94734
31_60,yes,no,yes,16years,white,no,17_33,0_1,0_2,0_61,other,88520
31_60,yes,yes,yes,13-15years,white,no,17_33,0_1,0_2,0_61,other,93184
