@relation HI-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R1-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R8-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R9-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R10-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R11-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R13-precision6-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.instance.RemovePercentage-P90.0_predicted

@attribute whrswk {0_30,31_60,61_max}
@attribute hhi {no,yes}
@attribute whi {no,yes}
@attribute hhi2 {no,yes}
@attribute education {13-15years,12years,9-11years,16years,>16years,<9years}
@attribute race {white,black,other}
@attribute hispanic {no,yes}
@attribute experience {0_16,17_33,34_max}
@attribute kidslt6 {0_1,2_3,4_max}
@attribute kids618 {0_2,3_5,6_max}
@attribute husby {0_61,62_122,123_max}
@attribute 'prediction margin' numeric
@attribute 'predicted region' {northcentral,other,south,west}
@attribute region {northcentral,other,south,west}

@data
0_30,yes,no,yes,13-15years,white,no,0_16,0_1,0_2,62_122,-0.030303,west,other
0_30,yes,no,yes,9-11years,white,no,17_33,0_1,0_2,0_61,-0.242424,south,other
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,-0.041948,northcentral,other
0_30,no,no,yes,12years,white,no,17_33,0_1,0_2,0_61,-0.130475,south,other
31_60,no,yes,no,12years,white,no,34_max,0_1,0_2,0_61,-0.084302,south,other
31_60,no,yes,yes,9-11years,black,yes,17_33,0_1,0_2,0_61,0.46875,other,other
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,-0.041948,northcentral,other
0_30,yes,no,yes,13-15years,white,no,0_16,0_1,0_2,0_61,-0.089806,northcentral,other
0_30,yes,no,yes,12years,white,no,0_16,2_3,0_2,0_61,0.086957,other,other
31_60,no,no,no,>16years,white,no,17_33,0_1,0_2,0_61,-0.235294,south,other
0_30,yes,no,yes,<9years,white,no,17_33,0_1,0_2,0_61,-0.115385,south,other
31_60,no,yes,no,13-15years,white,no,17_33,0_1,0_2,0_61,-0.071672,west,other
31_60,no,yes,no,<9years,white,yes,17_33,0_1,0_2,0_61,-0.396867,west,other
31_60,no,no,no,12years,white,no,17_33,0_1,0_2,0_61,-0.130475,south,other
31_60,yes,no,yes,13-15years,white,no,0_16,0_1,0_2,0_61,-0.089806,northcentral,other
0_30,no,no,no,12years,white,no,17_33,0_1,0_2,0_61,-0.130475,south,other
0_30,no,no,no,13-15years,white,no,17_33,0_1,0_2,0_61,-0.173134,west,other
31_60,yes,yes,yes,<9years,white,no,34_max,0_1,0_2,0_61,-0.048544,south,other
31_60,yes,yes,yes,12years,white,no,34_max,0_1,0_2,0_61,0.05,other,other
0_30,yes,no,yes,9-11years,white,no,17_33,0_1,0_2,0_61,-0.242424,south,other
31_60,no,yes,yes,12years,white,no,0_16,0_1,0_2,0_61,-0.196108,south,other
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,-0.041948,northcentral,other
0_30,yes,no,yes,9-11years,white,no,34_max,0_1,0_2,0_61,-0.069652,northcentral,other
0_30,yes,no,yes,13-15years,white,no,0_16,2_3,0_2,0_61,0.015038,other,other
0_30,no,no,no,12years,white,no,0_16,2_3,0_2,0_61,-0.212121,northcentral,other
31_60,no,yes,no,13-15years,white,no,17_33,0_1,3_5,0_61,-0.285714,west,other
31_60,yes,yes,yes,12years,white,no,0_16,0_1,0_2,0_61,-0.138889,south,other
0_30,no,no,no,13-15years,white,no,17_33,0_1,0_2,0_61,-0.173134,west,other
0_30,yes,no,yes,16years,white,no,0_16,0_1,0_2,62_122,0.193878,other,other
0_30,no,no,no,12years,white,no,17_33,0_1,0_2,0_61,-0.130475,south,other
0_30,no,no,no,12years,white,no,17_33,2_3,0_2,0_61,-0.212121,northcentral,other
31_60,yes,yes,yes,9-11years,white,no,17_33,0_1,0_2,0_61,0,other,other
31_60,yes,yes,yes,16years,white,no,17_33,0_1,0_2,0_61,-0.040712,west,other
31_60,no,no,no,12years,white,no,34_max,0_1,0_2,0_61,-0.084302,south,other
0_30,yes,no,yes,<9years,white,no,34_max,0_1,0_2,0_61,-0.048544,south,other
0_30,no,no,no,12years,white,no,34_max,0_1,0_2,62_122,0.059649,other,other
0_30,yes,no,yes,>16years,black,yes,0_16,0_1,0_2,0_61,0.46875,other,other
0_30,no,yes,yes,13-15years,white,yes,0_16,0_1,0_2,0_61,-0.037383,west,other
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,-0.041948,northcentral,other
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,-0.041948,northcentral,other
31_60,no,yes,no,12years,white,no,34_max,0_1,0_2,0_61,-0.084302,south,other
0_30,no,no,no,<9years,white,no,34_max,0_1,0_2,0_61,-0.297735,south,other
31_60,yes,yes,yes,13-15years,white,no,17_33,0_1,0_2,0_61,-0.1,south,other
31_60,no,yes,yes,>16years,white,no,0_16,0_1,0_2,0_61,-0.166667,south,other
31_60,no,yes,no,13-15years,white,no,17_33,0_1,0_2,0_61,-0.071672,west,other
31_60,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,-0.123077,south,other
0_30,yes,no,yes,16years,white,no,17_33,2_3,0_2,0_61,-0.040712,west,other
0_30,yes,no,yes,>16years,white,no,0_16,0_1,0_2,0_61,0.036415,other,other
31_60,no,no,yes,12years,white,no,0_16,0_1,0_2,0_61,-0.196108,south,other
0_30,yes,no,yes,13-15years,white,no,34_max,0_1,0_2,62_122,-0.139535,south,other
31_60,yes,yes,yes,16years,white,no,0_16,2_3,0_2,0_61,-0.037931,south,other
0_30,yes,no,yes,>16years,white,no,17_33,0_1,0_2,0_61,0.036415,other,other
31_60,yes,yes,yes,12years,white,no,34_max,0_1,0_2,0_61,0.05,other,other
31_60,yes,yes,yes,>16years,white,no,17_33,0_1,0_2,0_61,0.036415,other,other
31_60,yes,no,yes,9-11years,white,no,0_16,0_1,0_2,0_61,-0.186047,south,other
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,-0.041948,northcentral,other
0_30,no,no,no,13-15years,white,yes,0_16,0_1,0_2,0_61,-0.037383,west,other
31_60,no,no,no,16years,white,no,0_16,0_1,0_2,62_122,0.193878,other,other
0_30,yes,no,yes,12years,white,no,0_16,2_3,0_2,0_61,0.086957,other,other
31_60,no,yes,no,16years,white,no,0_16,0_1,0_2,0_61,0,northcentral,other
31_60,no,yes,no,12years,white,yes,0_16,0_1,0_2,0_61,-0.193333,west,other
31_60,yes,no,yes,13-15years,white,no,17_33,0_1,0_2,0_61,-0.040388,south,other
31_60,no,yes,no,16years,white,no,0_16,0_1,0_2,0_61,0,northcentral,other
0_30,yes,no,yes,13-15years,white,no,17_33,0_1,0_2,0_61,-0.040388,south,other
31_60,yes,yes,yes,13-15years,white,no,17_33,0_1,0_2,0_61,-0.1,south,other
0_30,yes,no,yes,16years,white,no,17_33,0_1,0_2,0_61,-0.040712,west,other
0_30,yes,no,yes,16years,white,no,17_33,0_1,0_2,62_122,0.118012,other,other
0_30,yes,no,yes,16years,white,no,17_33,0_1,0_2,0_61,-0.040712,west,other
31_60,yes,no,yes,13-15years,white,no,17_33,0_1,0_2,0_61,-0.040388,south,other
0_30,yes,no,yes,13-15years,white,no,17_33,0_1,0_2,0_61,-0.040388,south,other
0_30,yes,no,yes,12years,white,no,0_16,2_3,0_2,0_61,0.086957,other,other
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,-0.041948,northcentral,other
31_60,yes,yes,yes,12years,white,no,17_33,0_1,0_2,0_61,-0.064801,northcentral,other
0_30,no,no,no,12years,white,no,34_max,0_1,0_2,0_61,-0.066445,northcentral,other
0_30,no,no,no,9-11years,white,no,34_max,0_1,0_2,0_61,-0.289902,south,other
0_30,yes,no,yes,9-11years,white,no,34_max,0_1,0_2,0_61,-0.069652,northcentral,other
31_60,no,yes,no,13-15years,white,no,0_16,0_1,0_2,0_61,-0.097222,northcentral,other
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,-0.041948,northcentral,other
31_60,yes,no,yes,16years,white,no,17_33,0_1,3_5,0_61,-0.226415,west,other
0_30,no,no,no,12years,white,no,34_max,0_1,0_2,0_61,-0.066445,northcentral,other
31_60,no,no,no,12years,white,no,17_33,0_1,0_2,0_61,-0.130475,south,other
0_30,yes,no,yes,12years,white,yes,17_33,0_1,0_2,0_61,-0.081081,west,other
0_30,yes,no,yes,13-15years,white,no,0_16,0_1,0_2,0_61,-0.089806,northcentral,other
31_60,yes,yes,yes,12years,white,no,17_33,0_1,0_2,0_61,-0.064801,northcentral,other
31_60,yes,no,yes,12years,white,no,0_16,0_1,0_2,0_61,-0.138889,south,other
31_60,no,yes,yes,12years,white,no,34_max,0_1,0_2,0_61,-0.084302,south,other
0_30,no,yes,yes,>16years,white,no,0_16,0_1,0_2,0_61,-0.166667,south,other
31_60,yes,yes,yes,12years,white,no,17_33,0_1,0_2,0_61,-0.064801,northcentral,other
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,-0.041948,northcentral,other
31_60,no,yes,no,16years,white,no,17_33,0_1,0_2,0_61,0,other,other
31_60,no,yes,no,16years,white,no,0_16,0_1,0_2,0_61,0,northcentral,other
0_30,yes,no,yes,13-15years,white,no,17_33,0_1,0_2,0_61,-0.040388,south,other
31_60,no,no,no,13-15years,white,no,17_33,0_1,0_2,0_61,-0.229665,south,other
31_60,no,yes,no,12years,white,no,0_16,0_1,0_2,0_61,-0.196108,south,other
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,-0.041948,northcentral,other
31_60,no,yes,yes,13-15years,white,no,17_33,0_1,0_2,62_122,-0.16129,south,other
0_30,yes,no,yes,16years,white,no,17_33,0_1,0_2,62_122,0.118012,other,other
0_30,yes,no,yes,16years,white,no,17_33,2_3,0_2,62_122,0.333333,other,other
31_60,yes,yes,yes,12years,white,no,17_33,0_1,0_2,0_61,-0.064801,northcentral,other
0_30,no,yes,no,16years,white,no,17_33,0_1,0_2,0_61,0,other,other
31_60,no,yes,no,>16years,white,no,17_33,0_1,0_2,62_122,-0.151515,south,other
31_60,no,yes,yes,<9years,white,no,34_max,0_1,0_2,0_61,-0.297735,south,other
0_30,yes,no,yes,16years,white,no,17_33,0_1,0_2,62_122,0.118012,other,other
31_60,yes,yes,yes,>16years,white,no,17_33,0_1,0_2,62_122,0.25641,other,other
0_30,yes,no,yes,>16years,white,no,34_max,0_1,0_2,0_61,0.036415,other,other
0_30,no,yes,no,13-15years,white,no,17_33,0_1,0_2,0_61,0.027027,other,other
0_30,yes,no,yes,13-15years,white,no,34_max,0_1,0_2,62_122,-0.139535,south,other
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,-0.041948,northcentral,other
0_30,no,yes,no,9-11years,white,no,34_max,0_1,0_2,0_61,-0.289902,south,other
31_60,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,-0.123077,south,other
0_30,yes,no,yes,>16years,white,no,17_33,0_1,0_2,0_61,0.036415,other,other
0_30,yes,no,yes,16years,white,no,0_16,0_1,0_2,0_61,0.067164,other,other
0_30,yes,no,yes,9-11years,white,no,17_33,0_1,0_2,0_61,-0.242424,south,other
31_60,no,no,no,13-15years,white,yes,0_16,0_1,0_2,0_61,-0.037383,west,other
31_60,no,no,no,12years,white,yes,17_33,0_1,0_2,0_61,-0.072464,south,other
0_30,yes,no,yes,13-15years,white,no,0_16,0_1,0_2,0_61,-0.089806,northcentral,other
0_30,yes,no,yes,13-15years,white,no,17_33,0_1,0_2,0_61,-0.040388,south,other
0_30,yes,no,yes,12years,white,yes,34_max,0_1,0_2,62_122,-0.112903,west,other
0_30,yes,no,yes,16years,white,no,0_16,2_3,0_2,62_122,0.095238,other,other
31_60,no,yes,no,16years,white,no,17_33,0_1,0_2,0_61,0,other,other
0_30,yes,no,yes,13-15years,white,no,17_33,0_1,3_5,0_61,-0.103896,northcentral,other
31_60,yes,no,yes,13-15years,white,no,0_16,0_1,0_2,0_61,-0.089806,northcentral,other
31_60,yes,yes,yes,16years,black,no,17_33,0_1,0_2,0_61,-0.14,south,other
31_60,yes,yes,yes,13-15years,white,no,17_33,0_1,0_2,0_61,-0.1,south,other
31_60,yes,no,yes,16years,white,no,0_16,0_1,0_2,0_61,-0.037931,south,other
31_60,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,-0.064801,northcentral,other
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,-0.041948,northcentral,other
31_60,no,yes,no,13-15years,white,no,0_16,0_1,0_2,0_61,-0.097222,northcentral,other
0_30,yes,no,yes,12years,white,no,17_33,0_1,3_5,62_122,-0.054348,northcentral,other
31_60,yes,yes,yes,13-15years,white,yes,0_16,2_3,0_2,0_61,-0.04,west,other
31_60,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,-0.064801,northcentral,other
0_30,no,no,no,12years,white,no,17_33,0_1,0_2,0_61,-0.130475,south,other
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,-0.041948,northcentral,other
31_60,yes,yes,yes,13-15years,white,no,0_16,0_1,0_2,0_61,-0.1,south,other
31_60,no,yes,no,12years,white,no,0_16,0_1,0_2,0_61,-0.196108,south,other
0_30,no,no,yes,12years,white,no,34_max,0_1,0_2,0_61,-0.053571,northcentral,other
0_30,yes,no,yes,16years,white,no,0_16,0_1,0_2,0_61,0.067164,other,other
31_60,no,yes,no,12years,white,no,34_max,0_1,0_2,0_61,-0.084302,south,other
31_60,no,yes,no,13-15years,white,no,0_16,0_1,0_2,0_61,-0.097222,northcentral,other
31_60,no,yes,no,12years,white,no,0_16,0_1,0_2,0_61,-0.196108,south,other
31_60,no,yes,no,13-15years,white,no,17_33,0_1,0_2,0_61,-0.071672,west,other
31_60,no,no,no,13-15years,white,no,17_33,0_1,0_2,0_61,-0.229665,south,other
31_60,no,no,no,12years,white,no,17_33,0_1,0_2,0_61,-0.130475,south,other
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,62_122,0.059649,other,other
0_30,no,yes,no,>16years,white,no,0_16,0_1,0_2,0_61,0.018182,other,other
31_60,no,no,no,>16years,white,no,0_16,0_1,0_2,0_61,-0.1875,northcentral,other
31_60,no,yes,no,12years,white,no,17_33,0_1,0_2,0_61,-0.130475,south,other
0_30,yes,no,yes,>16years,white,no,34_max,0_1,0_2,0_61,0.036415,other,other
31_60,no,no,no,12years,white,no,0_16,0_1,0_2,0_61,-0.196108,south,other
31_60,no,yes,yes,12years,white,no,17_33,0_1,0_2,0_61,-0.130475,south,other
0_30,no,no,no,12years,white,no,34_max,0_1,0_2,0_61,-0.066445,northcentral,other
31_60,no,yes,no,>16years,white,yes,0_16,0_1,0_2,0_61,0.02381,other,other
31_60,no,yes,no,13-15years,white,no,0_16,0_1,0_2,0_61,-0.097222,northcentral,other
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,-0.041948,northcentral,other
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,-0.041948,northcentral,other
31_60,no,yes,no,16years,white,no,17_33,0_1,0_2,0_61,0,other,other
31_60,yes,no,yes,13-15years,white,no,17_33,0_1,0_2,0_61,-0.040388,south,other
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,-0.041948,northcentral,other
31_60,no,yes,no,12years,white,no,17_33,0_1,0_2,0_61,-0.130475,south,other
0_30,yes,no,yes,>16years,white,no,34_max,0_1,0_2,0_61,0.036415,other,other
31_60,yes,no,yes,13-15years,white,no,17_33,0_1,0_2,62_122,0.007692,other,other
31_60,no,yes,no,13-15years,white,no,17_33,0_1,0_2,0_61,-0.071672,west,other
0_30,yes,no,yes,13-15years,white,no,34_max,0_1,0_2,0_61,-0.10628,west,other
31_60,no,yes,yes,12years,white,no,17_33,0_1,0_2,0_61,-0.130475,south,other
0_30,no,no,no,12years,white,no,34_max,0_1,0_2,0_61,-0.066445,northcentral,other
31_60,yes,no,yes,13-15years,white,no,0_16,0_1,3_5,0_61,-0.195652,west,other
31_60,no,yes,no,12years,white,no,17_33,0_1,0_2,0_61,-0.130475,south,other
0_30,yes,no,yes,13-15years,white,no,17_33,0_1,6_max,0_61,0,northcentral,other
31_60,yes,no,yes,>16years,white,no,17_33,0_1,0_2,0_61,0.036415,other,other
31_60,no,yes,yes,12years,white,no,34_max,0_1,0_2,0_61,-0.084302,south,other
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,0.041948,northcentral,northcentral
31_60,no,yes,no,13-15years,white,no,17_33,0_1,0_2,0_61,-0.040956,west,northcentral
31_60,no,yes,no,12years,white,no,17_33,0_1,0_2,0_61,-0.082945,south,northcentral
31_60,no,yes,no,13-15years,white,no,17_33,0_1,0_2,0_61,-0.040956,west,northcentral
0_30,no,no,no,<9years,other,no,34_max,0_1,0_2,0_61,-0.381818,west,northcentral
31_60,no,yes,no,9-11years,other,no,34_max,0_1,0_2,0_61,-0.333333,south,northcentral
31_60,no,yes,no,12years,other,no,17_33,0_1,0_2,0_61,-0.285714,south,northcentral
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,0.041948,northcentral,northcentral
0_30,yes,no,yes,13-15years,white,no,17_33,0_1,0_2,0_61,-0.008078,south,northcentral
31_60,yes,no,yes,13-15years,white,no,0_16,0_1,0_2,0_61,0.089806,northcentral,northcentral
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,0.041948,northcentral,northcentral
31_60,yes,yes,yes,>16years,white,no,0_16,0_1,0_2,0_61,-0.044818,other,northcentral
31_60,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,-0.092308,south,northcentral
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,0.041948,northcentral,northcentral
31_60,no,yes,no,13-15years,white,no,0_16,0_1,0_2,0_61,0.027778,northcentral,northcentral
31_60,no,yes,yes,12years,white,no,34_max,0_1,0_2,0_61,-0.063953,south,northcentral
0_30,yes,no,yes,13-15years,white,no,17_33,2_3,3_5,0_61,0.064935,northcentral,northcentral
31_60,no,yes,no,16years,white,yes,17_33,0_1,0_2,0_61,-0.192308,south,northcentral
0_30,yes,yes,yes,12years,white,no,0_16,0_1,0_2,0_61,-0.03125,other,northcentral
31_60,yes,yes,yes,12years,white,no,34_max,0_1,0_2,0_61,-0.06,other,northcentral
31_60,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,0.029455,northcentral,northcentral
0_30,no,no,no,12years,white,no,0_16,2_3,0_2,0_61,0.042424,northcentral,northcentral
31_60,no,yes,no,13-15years,white,no,0_16,0_1,0_2,0_61,0.027778,northcentral,northcentral
31_60,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,0.029455,northcentral,northcentral
0_30,yes,no,yes,9-11years,white,no,17_33,0_1,3_5,0_61,-0.5,south,northcentral
31_60,no,yes,no,12years,white,no,17_33,0_1,0_2,0_61,-0.082945,south,northcentral
31_60,no,yes,no,16years,white,no,17_33,0_1,0_2,0_61,-0.052381,other,northcentral
31_60,no,yes,yes,12years,white,no,17_33,0_1,0_2,0_61,-0.082945,south,northcentral
31_60,no,no,no,16years,white,no,0_16,0_1,0_2,0_61,-0.041985,west,northcentral
31_60,yes,no,yes,16years,white,no,0_16,0_1,0_2,0_61,-0.034483,south,northcentral
31_60,no,yes,no,13-15years,white,no,17_33,0_1,0_2,0_61,-0.040956,west,northcentral
31_60,yes,no,yes,12years,white,no,17_33,0_1,0_2,62_122,-0.101754,other,northcentral
31_60,yes,yes,yes,13-15years,white,no,0_16,0_1,0_2,0_61,-0.002941,south,northcentral
31_60,yes,yes,yes,12years,white,no,17_33,0_1,0_2,0_61,0.029455,northcentral,northcentral
0_30,yes,no,yes,13-15years,white,no,0_16,0_1,0_2,0_61,0.089806,northcentral,northcentral
31_60,no,no,no,16years,white,no,17_33,0_1,0_2,0_61,-0.041985,west,northcentral
31_60,yes,yes,yes,12years,white,no,34_max,0_1,0_2,0_61,-0.06,other,northcentral
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,0.041948,northcentral,northcentral
31_60,no,yes,yes,>16years,white,no,17_33,0_1,0_2,0_61,-0.055556,south,northcentral
31_60,no,yes,no,13-15years,white,no,0_16,0_1,0_2,0_61,0.027778,northcentral,northcentral
31_60,no,yes,yes,16years,white,no,0_16,0_1,0_2,0_61,-0.117647,south,northcentral
31_60,yes,no,yes,12years,white,no,0_16,0_1,0_2,0_61,-0.034722,south,northcentral
0_30,yes,no,yes,13-15years,white,no,0_16,2_3,0_2,0_61,-0.052632,other,northcentral
31_60,no,yes,no,16years,white,no,0_16,0_1,0_2,0_61,0,northcentral,northcentral
31_60,yes,no,yes,13-15years,white,no,17_33,0_1,0_2,0_61,-0.008078,south,northcentral
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,0.041948,northcentral,northcentral
31_60,no,yes,no,13-15years,white,no,17_33,0_1,0_2,0_61,-0.040956,west,northcentral
31_60,no,yes,no,13-15years,white,no,17_33,0_1,0_2,0_61,-0.040956,west,northcentral
31_60,yes,no,yes,13-15years,white,no,17_33,0_1,0_2,0_61,-0.008078,south,northcentral
31_60,no,yes,no,16years,white,no,0_16,0_1,0_2,0_61,0,northcentral,northcentral
31_60,yes,yes,yes,12years,white,no,17_33,0_1,0_2,0_61,0.029455,northcentral,northcentral
0_30,yes,no,yes,13-15years,white,no,0_16,0_1,0_2,0_61,0.089806,northcentral,northcentral
31_60,no,yes,no,13-15years,white,no,17_33,0_1,0_2,0_61,-0.040956,west,northcentral
0_30,yes,no,yes,16years,white,no,17_33,0_1,0_2,0_61,-0.063613,west,northcentral
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,0.041948,northcentral,northcentral
31_60,yes,no,yes,<9years,white,no,17_33,0_1,0_2,0_61,-0.25,other,northcentral
0_30,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,0.041948,northcentral,northcentral
31_60,yes,yes,yes,12years,white,no,17_33,0_1,0_2,0_61,0.029455,northcentral,northcentral
31_60,yes,no,yes,13-15years,white,no,17_33,0_1,0_2,0_61,-0.008078,south,northcentral
31_60,yes,no,yes,12years,white,no,34_max,0_1,0_2,0_61,-0.092308,south,northcentral
0_30,yes,no,yes,>16years,white,no,0_16,0_1,0_2,62_122,-0.264957,other,northcentral
31_60,yes,no,yes,16years,white,no,17_33,0_1,0_2,62_122,-0.198758,other,northcentral
0_30,yes,no,yes,12years,white,no,0_16,0_1,0_2,0_61,0.041948,northcentral,northcentral
31_60,yes,no,yes,13-15years,white,no,0_16,0_1,0_2,0_61,0.089806,northcentral,northcentral
31_60,no,yes,no,>16years,white,no,0_16,0_1,0_2,0_61,-0.125541,other,northcentral
31_60,no,yes,yes,>16years,white,no,0_16,0_1,0_2,0_61,-0.055556,south,northcentral
0_30,no,yes,no,12years,white,no,34_max,0_1,0_2,0_61,-0.015385,south,northcentral
31_60,yes,yes,yes,16years,white,no,0_16,0_1,0_2,62_122,-0.285714,other,northcentral
31_60,no,yes,no,>16years,white,no,34_max,0_1,0_2,0_61,-0.125541,other,northcentral
0_30,yes,no,yes,13-15years,white,no,34_max,0_1,0_2,62_122,-0.162791,south,northcentral
31_60,yes,no,yes,13-15years,white,no,17_33,0_1,0_2,0_61,-0.008078,south,northcentral
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,0.041948,northcentral,northcentral
0_30,yes,no,yes,12years,white,no,17_33,0_1,0_2,62_122,-0.101754,other,northcentral
0_30,no,no,no,12years,white,no,17_33,0_1,0_2,0_61,-0.082945,south,northcentral
31_60,no,yes,no,16years,white,no,0_16,0_1,0_2,0_61,0,northcentral,northcentral
31_60,yes,no,yes,13-15years,white,no,17_33,0_1,0_2,0_61,-0.008078,south,northcentral
31_60,yes,no,yes,13-15years,white,no,17_33,0_1,0_2,0_61,-0.008078,south,northcentral
0_30,yes,no,yes,13-15years,white,no,0_16,0_1,0_2,0_61,0.089806,northcentral,northcentral
31_60,yes,yes,yes,>16years,white,no,17_33,0_1,0_2,0_61,-0.044818,other,northcentral
0_30,yes,no,yes,13-15years,white,no,0_16,0_1,0_2,0_61,0.089806,northcentral,northcentral
31_60,no,yes,no,13-15years,white,no,17_33,0_1,0_2,0_61,-0.040956,west,northcentral
0_30,yes,no,yes,16years,white,no,34_max,0_1,0_2,0_61,-0.1375,other,northcentral
31_60,no,yes,no,16years,white,no,17_33,0_1,0_2,0_61,-0.052381,other,northcentral
31_60,yes,no,yes,12years,white,no,17_33,0_1,0_2,0_61,0.029455,northcentral,northcentral
31_60,yes,yes,yes,12years,black,no,34_max,0_1,0_2,0_61,-0.360294,south,northcentral
0_30,no,no,no,12years,white,no,17_33,0_1,0_2,0_61,-0.082945,south,northcentral
31_60,no,yes,no,12years,black,no,34_max,0_1,0_2,0_61,-0.466539,south,northcentral
31_60,no,yes,no,12years,black,no,34_max,0_1,0_2,0_61,-0.466539,south,northcentral
